HMLabel,HMUdogodnienia,HMMieszkania,n,USIfeature
Dostępna liczba ofert: 151,,,1,
Dostępna liczba ofert: 91,,,1,
"Budynek: dwupoziomowe lobby, recepcja, strefa klubowa, usługi",,,1,
"Teren: miejsca parkingowe, zielony dziedziniec",,,1,
Dostępna liczba ofert: 135,,,1,
"Wysokość mieszkania: 2,59 - 2,67 m",,,1,
Dostępna liczba ofert: 123,,,1,
Budynek: fotowoltaika,,,1,
Termin oddania: sierpień 2027,,,1,
"Powierzchnie zewnętrzne: loggia, taras, balkon",,,1,
"Teren: budki dla owadów, budki dla ptaków, miejsca parkingowe, monitoring, ogrody, stacja naprawy rowerów, wiata rowerowa",,,1,
"Wysokość mieszkania: 2,67 - 2,69 m",,,1,
"Budynek: ochrona z dedykowanym pomieszczeniem, panele fotowoltaiczne, pomieszczenie ogrodnika, rowerownia z opcją ładowania rowerów elektrycznych, usługi, wideofon",,,1,
Budynek: boksy na rowery,,,1,
Budynek: część SPA/fitness,,,1,
"Budynek: możliwość montażu samochodowej ładowarki elektrycznej, ogrzewanie miejskie, przestrzeń dla rowerów, usługi",,,1,
Dostępna liczba ofert: 37,,,1,
Dostępna liczba ofert: 81,,,1,
"Budynek: inteligentne zarządzanie domem, panele fotowoltaiczne, usługi",,,1,
"Teren: dziedziniec, miejsca parkingowe, plac zabaw, stacja ładowania samochodów elektrycznych",,,1,
"Teren: ogrodzony, patio",,,1,
Dostępna liczba ofert: 53,,,1,
"Budynek: ogrzewanie podłogowe, wózkarnia",,,1,
"Budynek: patio, rowerownia, tarasy na najwyższej kondygnacji z leżakami, wózkownia",,,1,
"Budynek: basen, część SPA/fitness, pralnia",,,1,
"Termin oddania: Bud. B - gotowe do odbioru, Bud. A - gotowe do odbioru",,,1,
"Wysokość mieszkania: 2,94 m",,,1,
Dostępna liczba ofert: 5,,,1,
"Budynek: ogrzewanie podłogowe, przygotowanie pod fotowoltaikę, przygotowanie pod klimatyzację, przygotowanie pod ładowarkę samochodową, rekuperacja",,,1,
"Teren: stacja napraw, stojaki rowerowe, teren rekreacyjny",,,1,
"Budynek: inteligentne zarządzanie domem, panele fotowoltaiczne, zielone dachy",,,1,
"Powierzchnie zewnętrzne: ogródek, taras, balkon",,,1,
Dostępna liczba ofert: 84,,,1,
"Teren: miejsca parkingowe, plac zabaw, stojaki na rowery, teren rekreacyjny",,,1,
"Budynek: panele fotowoltaiczne, usługi",,,1,
"Budynek: basen, bawialnia, hala sportowa, klub nocny, kręgielnia, park wodny ze strefą wellness, playroom, restauracja, siłowania",,,1,
"Wys. apartamentu: 2,60 m",,,1,
"Teren: monitoring, ogrodzony, plac zabaw",,,1,
"Budynek: patio, rowerownia, usługi",,,1,
Budynek: mieszkania,,,1,
Termin oddania: Budynek F - gotowy do odbioru,,,1,
"Termin oddania: gotowe do odbioru, ABC - gotowe do odbioru",,,1,
"Wysokość mieszkania: 2,88 m",,,1,
"Powierzchnie zewnętrzne: taras, balkon, ogródek",,,1,
Dostępna liczba ofert: 134,,,1,
"Teren: miejsca parkingowe, ogrody społeczne, plac zabaw, siłownia, stacja ładowania samochodów elektrycznych, tężnia solankowa, ławy piknikowe",,,1,
Dostępna liczba ofert: 230,,,1,
Termin oddania: Etap III - III kwartał 2027,,,1,
"Wysokość mieszkania: 2,77 - 2,90 m",,,1,
"Wysokość mieszkania: 2,60 - 3,50 m",,,1,
Termin oddania: Budynek A - III kwartał 2027,,,1,
"Budynek: panele fotowoltaiczne, pompa ciepła, rowerownia, usługi",,,1,
"Teren: plac zabaw, siłownia plenerowa",,,1,
"Teren: boksy do przechowywania, stojaki na rowery",,,1,
"Teren: klub mieszkańca ze strefa coworkingową, miejsca parkingowe, monitoring, myjka dla psów, paczkomat, stacja ładowania samochodów elektrycznych, teren rekreacyjny",,,1,
Dostępna liczba ofert: 119,,,1,
Dostępna liczba ofert: 183,,,1,
"Teren: częściowo ogrodzony, monitoring",,,1,
"Teren: miejsca parkingowe, monitoring, plac zabaw, stacja ładowania samochodów elektrycznych",,,1,
"Termin oddania: A-B - wrzesień 2026, C-D - listopad 2026",,,1,
"Budynek: recepcja, rowerownia, wideofon",,,1,
"Wysokość mieszkania: 2,66 m",,,1,
Termin oddania: Etap I - gotowe do odbioru,,,1,
"Teren: jezioro, miejsca parkingowe, ochrona, plac zabaw, stacja ładowania samochodów elektrycznych",,,1,
Dostępna liczba ofert: 104,,,1,
Termin oddania: marzec 2027,,,1,
"Wysokość mieszkania: 2,95 - 3,00 m",,,1,
"Teren: ogrodzony, paczkomat, skrzynki pocztowe",,,1,
Budynek: mieszkalny z usługami,,,1,
"Teren: miejsca parkingowe, ogródki",,,1,
Powierzchnie wewnętrzne: ogródek,,,1,
Powierzchnie wewnętrzne,,,1,
"Budynek: recepcja, rowerownia, taras widokowy",,,1,
Dostępna liczba ofert: 453,,,1,
"Powierzchnie zewnętrzne: loggia, ogródek, taras, balkon",,,1,
"Teren: miejsca parkingowe, staw",,,1,
"Termin oddania: etap I - III kwartał 2025, etap II - III kwartał 2026",,,1,
Dostępna liczba ofert: 133,,,1,
Dostępna liczba ofert: 207,,,1,
Dostępna liczba ofert: 107,,,1,
"Termin oddania: ETAP IV A - gotowe do odbioru, ETAP IV B - I kwartał 2026",,,1,
"Teren: miejsca parkingowe, plac zabaw, stojaki na rowery",,,1,
"Budynek: Smart Home, automatyczne rolety zewnętrzne, niezależne wejście do każdego mieszkania, okna przesuwne",,,1,
"Teren: ogrodzony, stojaki rowerowe",,,1,
"Powierzchnie zewnętrzne: ogródek, taras, balkon, loggia",,,1,
Dostępna liczba ofert: 79,,,1,
Termin oddania: Etap I - I kwartał 2027,,,1,
"Teren: market, miejsca parkingowe dla jednośladów, paczkomaty, plac zabaw, skwer miejski z kawiarnią, stacja ładowania samochodów elektrycznych",,,1,
"Wysokość mieszkania: 2,35 - 2,63 m",,,1,
"Budynek: ogrzewanie podłogowe, rowerownia, wózkarnia",,,1,
"Teren: miejsca parkingowe, prywatne wewnętrzne patio",,,1,
"Wys. apartamentu: 2,52 - 2,59 m",,,1,
Dostępna liczba ofert: 131,,,1,
"Teren: miejsca parkingowe, ogrodzony, teren rekreacyjny",,,1,
Dostępna liczba ofert: 80,,,1,
"Wysokość mieszkania: 2,78 - 3,29 m",,,1,
Teren: jezioro,,,1,
Dostępna liczba ofert: 58,,,1,
Termin oddania: lipiec 2026,,,1,
Termin oddania: Budynek H2 - gotowe,,,1,
Dostępna liczba ofert: 3,,,1,
"Teren: miejsca parkingowe, miejsce na rowery, plac zabaw",,,1,
"Wys. apartamentu: 2,75 m",,,1,
"Budynek: boksy rowerowe, usługi",,,1,
Dostępna liczba ofert: 73,,,1,
"Budynek: strefa rekreacyjna na dachu budynku, zielony dach",,,1,
"Wysokość mieszkania: 2,53 - 2,63 m",,,1,
Termin oddania: 31.12.2027,,,1,
Balkon,,,0,
monitoring,,,0,
Komórki lokatorskie,,,800,
suszarnia,,,0,
brodzik,,,0,
sala zabaw,,,0,Sala zabaw
kort tenisowy,,,0,
domofon,,,0,
system alarmowy,,1,0,
TV kablowa,,,893,
panele fotowol.,,,0,
miejsce do grillowania,,,0,
ładowarka aut el.,,,0,
solarium,,,0,
ogródek,,,0,
jacuzzi,,,0,
dostępna liczba ofert: 76,,,0,
dostępna liczba ofert: 67,,,0,
usługi w budynku,,,1110,
internet,,,1131,
Taras,,,1158,
Miejsce parkingowe podziemne,,,1379,
balkon,,,1395,
parking naziemny,,,1518,
teren ogrodzony,,,1641,
Windy,,,1751,
plac zabaw,,,2311,
Blisko terenów zielonych,,,0,
Kameralny budynek,,,0,
animowane wizualizacje,,,0,
apartme,,1,0,
bezdotykowe wejście,,,0,
bezpiecznie osiedle,,,0,
bezprogowe wyjścia na balkon,,1,0,
bliskość centrum,,,0,
bliskość szkół,,,0,
brak,,,0,
budki dla owadów,,,0,
budki dla ptaków,,,0,
certyfikacja BREEAM,,,0,
Certyfikat Fundacji Integracja – „Obiekt bez barier”,,,0,
ciekawa okolica,,,0,
czujniki powietrza airly,,,0,
dialog z mieszkańcami,,,0,
domofon / wideofon,,1,0,
doskonała komunikacja,,,0,
drewniane okna,,,0,
filtry antysmogowe,,1,0,
garaż/miejsce parkingowe,,,0,
h247,,,0,
h258,,,0,
h260,,,0,
h262,,,0,
h264,,,0,
h265,,,0,
h266,,,0,
h267,,,0,
h268,,,0,
h269,,,0,
h270,,,0,
h272,,,0,
h273,,,0,
h275,,,0,
h277,,,0,
h280,,,0,
h282,,,0,
h285,,,0,
h300,,,0,
handlowy,,,0,
inteligentny budynek,,,0,
JEMS architekci,,,0,
kameralna inwestycja,,,0,
klub malucha,,,0,
komórka lokatorska 1:1,,,0,
ławki solarne,,,0,
malowane ściany,,1,0,
miejsce na klimatyzację,,1,0,
modernistyczna architektura,,,0,
możliwość ładowania EV,,,0,
możliwość montażu klimatyzacji,,1,0,
możliwość podłączenia ogrzewania podłogowego w łazience,,1,0,
nagradzana pracownia architektoniczna,,,0,
naturalne materiały,,,0,
niska zabudowa,,,0,
nowoczesne domofony,,,0,
obieg wody deszczowej,,,0,
ogród deszczowy,,,0,
ogrody na dachu,,,0,
ogrzewanie podłogowe,,1,0,
okna balkonowe z fixem,,1,0,
optymalne nasłonecznienie,,,0,
oświetlenie elewacji,,,0,
oświetlenie LED,,,0,
panele PV na dachu - instalacja fotowoltaiczna,,,0,
panoramiczne okna,,,0,
patio,,,0,
pełna zabudowa balkonów,,,0,
podlewanie,,,0,
pokój jogi,,,0,
ponadstandardowa wysokość mieszkań,,1,0,
przestronne balkony,,,0,
przestronny parking,,,0,
retencja wód opadowych,,,0,
rolety na parterze,,1,0,
ścieżki rowerowe,,,0,
segregacja odpadów,,,0,
siłownia zewnętrzna,,,0,
smart building,,,0,
smart home,,1,0,
stacja EV,,,0,
stacja rowerowa,,,0,
strefa gier,,,0,
strefa zieleni,,,0,
światłowód i łącze RTV,,,0,
szlachetne materiały,,,0,
szyby antywłamaniowe na parterze,,1,0,
szyby z filtrem UVA,,1,0,
telefon,,,0,
telewizja kablowa,,,0,
tereny zielone w sąsiedztwie,,,0,
tradycyjna technologia,,,0,
usługowy,,,0,
wiata na rowery,,,0,
wideodomofon wifi,,1,0,
wieszaki rowerowe w garażach,,,0,
wspólny taras dla mieszkańców,,,0,
wybrane mieszkania z dodatkową powierzchnią użytkową na dachu,,,0,
wykończenie pod klucz,,,0,
wysoki salon,,,0,
wysokie okna,,,0,
wysokie partery z blakonami,,,0,
wysokiej jakości materiały,,,0,
wysokiej klasy drewniana stolarka okienna,,1,0,
żaluzje zewnętrzne,,,0,
zeroemisyjność,,,0,
zielona okolica,,,0,
zielone dachy,,,0,
zintegrowane wycieraczki,,,0,
Teren: ogród,,,1,
